Trace Function
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _ZN4seal4util8add_safeIivEET_S2_S2_, 192 , 129 63 
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _Znwm, 96 4294967277 11 6 , 24 
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _Znwm, 16 4294967265 11 6 , 24 
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _ZdlPv, , 16 4294967265 11 6 
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _ZdlPv, , 96 4294967277 11 6 
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _ZN4seal4util8add_safeIivEET_S2_S2_, 192 , 129 63 
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _Znwm, 64 4294967284 11 6 , 24 
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _Znwm, 16 4294967277 11 6 , 24 
_ZN4seal4util29divide_uint192_uint64_inplaceEPmmS1_ _ZdlPv, , 16 4294967277 11 6 
_ZNK4seal11SEALContext14parameters_setEv memcmp, 0 , 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 48 4294967259 19 6 48 124 24 6 32 
_ZNK4seal11SEALContext14parameters_setEv memcmp, 0 , 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 48 4294967259 19 6 48 124 24 6 32 
_ZN8SEALTest22EncryptorTest_t10_Test8TestBodyEv _ZNSt10shared_ptrIN4seal11SEALContextEED2Ev, , 
_ZN8SEALTest22EncryptorTest_t10_Test8TestBodyEv _ZN4seal13MemoryManager7GetPoolEv, 13 1 , 
_ZN8SEALTest22EncryptorTest_t10_Test8TestBodyEv _ZN4seal10CiphertextC2ENS_16MemoryPoolHandleE, , 0 0 0 0 0 0 0 0 1 13 1 0 0 0 0 0 0 0 0 0 0 
_ZN8SEALTest22EncryptorTest_t10_Test8TestBodyEv _ZN4seal16MemoryPoolHandleD2Ev, , 
_ZN8SEALTest22EncryptorTest_t10_Test8TestBodyEv _ZN4seal13MemoryManager7GetPoolEv, 14 1 , 
_ZN8SEALTest22EncryptorTest_t10_Test8TestBodyEv _ZN4seal9PlaintextC2ENS_16MemoryPoolHandleE, , 0 0 0 0 0 1 14 1 0 0 0 0 252 18 246 227 78 7 
_ZN8SEALTest22EncryptorTest_t10_Test8TestBodyEv _ZN4seal16MemoryPoolHandleD2Ev, , 
_ZN8SEALTest22EncryptorTest_t10_Test8TestBodyEv _ZN4seal13MemoryManager7GetPoolEv, 16 1 , 
_ZNK4seal11SEALContext14parameters_setEv memcmp, 0 , 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 48 4294967259 19 6 48 124 24 6 32 
_ZNK4seal11SEALContext14parameters_setEv memcmp, 0 , 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 48 4294967259 19 6 48 124 24 6 32 
_ZNK4seal9Encryptor16encrypt_internalERKNS_9PlaintextEbbRNS_10CiphertextENS_16MemoryPoolHandleE _ZN4seal21is_metadata_valid_forERKNS_9PublicKeyESt10shared_ptrIKNS_11SEALContextEE, , 17665196986966280890 6439650641635207528 13856419463288479726 10803001836510860304 1 2 64 1 1 17 1 128 128 195192128904 4294967176 4294967173 91 114 45 0 0 0 0 1 0 0 0 
_ZNK4seal11SEALContext14parameters_setEv memcmp, 0 , 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 48 4294967259 19 6 48 124 24 6 32 
_ZNK4seal11SEALContext14parameters_setEv memcmp, 0 , 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 4294967226 10 109 4294967231 16 99 39 4294967285 104 105 72 4294967244 35 60 94 89 4294967278 95 30 96 22 4294967268 75 4294967232 16 84 31 4294967293 4294967278 4294967288 4294967275 4294967189 48 4294967259 19 6 48 124 24 6 32 
_ZNK4seal9Encryptor16encrypt_internalERKNS_9PlaintextEbbRNS_10CiphertextENS_16MemoryPoolHandleE _ZN4seal21is_metadata_valid_forERKNS_9PlaintextESt10shared_ptrIKNS_11SEALContextEEb, , 0 0 0 0 63 1 17 1 63 63 0 0 255 255 228 4 0 0 0 17 1 17665196986966280890 6439650641635207528 13856419463288479726 10803001836510860304 17665196986966280890 6439650641635207528 13856419463288479726 10803001836510860304 17665196986966280890 6439650641635207528 13856419463288479726 10803001836510860304 2 1 1 2 0 0 0 0 0 6 1 
_ZNK4seal9Encryptor16encrypt_internalERKNS_9PlaintextEbbRNS_10CiphertextENS_16MemoryPoolHandleE _ZN4seal15is_buffer_validERKNS_9PlaintextE, , 0 0 0 0 63 1 17 1 63 63 0 0 255 255 228 4 0 0 0 
